"filename", "language", "Markdown", "YAML", "Go Checksum File", "Docker", "Go Module File", "Go", "Shell Script", "Makefile", "MS SQL", "Ignore", "HTML", "Properties", "PowerShell", "comment", "blank", "total"
"/home/datttne/golang-project/cart-service/repository/cart_repository.go", "Go", 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 10, 42, 232
"/home/datttne/golang-project/cart-service/routes/cartRouter.go", "Go", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 10, 7, 38
"/home/datttne/golang-project/cart-service/service/cart-service.go", "Go", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 37, 166
"/home/datttne/golang-project/create-topic.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 3, 16
"/home/datttne/golang-project/deploy.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 26, 31, 176
"/home/datttne/golang-project/docker-compose.dev.yaml", "YAML", 0, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 265, 44, 609
"/home/datttne/golang-project/docker-compose.prod.yaml", "YAML", 0, 325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18, 358
"/home/datttne/golang-project/docker-compose.yaml", "YAML", 0, 459, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 29, 550
"/home/datttne/golang-project/email-service/go.mod", "Go Module File", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"/home/datttne/golang-project/email-service/go.sum", "Go Checksum File", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 78
"/home/datttne/golang-project/email-service/logger/loggger.go", "Go", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 15, 62
"/home/datttne/golang-project/email-service/main.go", "Go", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/home/datttne/golang-project/email-service/service/email_service.go", "Go", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 10, 70
"/home/datttne/golang-project/email-service/service/kafka_consumer.go", "Go", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"/home/datttne/golang-project/email-service/template/otp_send.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 58
"/home/datttne/golang-project/filebeat.yml", "YAML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/home/datttne/golang-project/jwt-validator/.traefik.yml", "YAML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/datttne/golang-project/jwt-validator/go.mod", "Go Module File", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/home/datttne/golang-project/jwt-validator/go.sum", "Go Checksum File", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/datttne/golang-project/jwt-validator/main.go", "Go", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 1, 15, 82
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/MIGRATION_GUIDE.md", "Markdown", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 196
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/README.md", "Markdown", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 168
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/SECURITY.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/VERSION_HISTORY.md", "Markdown", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 138
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/claims.go", "Go", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/doc.go", "Go", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 5
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/ecdsa.go", "Go", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 20, 23, 135
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/ecdsa_utils.go", "Go", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 6, 13, 70
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/ed25519.go", "Go", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 11, 17, 80
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/ed25519_utils.go", "Go", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 6, 13, 65
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/errors.go", "Go", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 20, 11, 90
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/hmac.go", "Go", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 30, 16, 105
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/map_claims.go", "Go", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 16, 19, 110
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/none.go", "Go", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 8, 12, 51
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/parser.go", "Go", 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 61, 38, 269
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/parser_option.go", "Go", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 61, 16, 146
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/registered_claims.go", "Go", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 22, 14, 64
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/rsa.go", "Go", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 15, 17, 94
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/rsa_pss.go", "Go", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 16, 16, 133
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/rsa_utils.go", "Go", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 11, 20, 108
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/signing_method.go", "Go", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 8, 10, 50
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/staticcheck.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/token.go", "Go", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 27, 15, 101
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/token_option.go", "Go", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/types.go", "Go", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 45, 25, 150
"/home/datttne/golang-project/jwt-validator/vendor/github.com/golang-jwt/jwt/v5/validator.go", "Go", 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 121, 46, 327
"/home/datttne/golang-project/module/gRPC-Order/go.mod", "Go Module File", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/home/datttne/golang-project/module/gRPC-Order/go.sum", "Go Checksum File", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/datttne/golang-project/module/gRPC-Order/service/order_service.pb.go", "Go", 0, 0, 0, 0, 0, 373, 0, 0, 0, 0, 0, 0, 0, 13, 60, 446
"/home/datttne/golang-project/module/gRPC-Order/service/order_service_grpc.pb.go", "Go", 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 29, 20, 198
"/home/datttne/golang-project/module/gRPC-Product/go.mod", "Go Module File", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/home/datttne/golang-project/module/gRPC-Product/go.sum", "Go Checksum File", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/datttne/golang-project/module/gRPC-Product/service/product_service.pb.go", "Go", 0, 0, 0, 0, 0, 726, 0, 0, 0, 0, 0, 0, 0, 20, 116, 862
"/home/datttne/golang-project/module/gRPC-Product/service/product_service_grpc.pb.go", "Go", 0, 0, 0, 0, 0, 221, 0, 0, 0, 0, 0, 0, 0, 33, 24, 278
"/home/datttne/golang-project/module/gRPC-cart/go.mod", "Go Module File", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"/home/datttne/golang-project/module/gRPC-cart/go.sum", "Go Checksum File", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/datttne/golang-project/module/gRPC-cart/service/cart_service.pb.go", "Go", 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 0, 10, 35, 259
"/home/datttne/golang-project/module/gRPC-cart/service/cart_service_grpc.pb.go", "Go", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 29, 16, 122
"/home/datttne/golang-project/order-service/GRPC-PERFORMANCE-FIX.md", "Markdown", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 146
"/home/datttne/golang-project/order-service/controller/order_controller.go", "Go", 0, 0, 0, 0, 0, 499, 0, 0, 0, 0, 0, 0, 0, 23, 103, 625
"/home/datttne/golang-project/order-service/database/migration/001_create_orders_table.down.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/datttne/golang-project/order-service/database/migration/001_create_orders_table.up.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/home/datttne/golang-project/order-service/database/postgres.go", "Go", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 2, 10, 51
"/home/datttne/golang-project/order-service/dockerfile", "Docker", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 16, 49
"/home/datttne/golang-project/order-service/go.mod", "Go Module File", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 72
"/home/datttne/golang-project/order-service/go.sum", "Go Checksum File", 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 218
"/home/datttne/golang-project/order-service/kafka/orderProducer.go", "Go", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 4, 26, 137
"/home/datttne/golang-project/order-service/kafka/paymentProducer.go", "Go", 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 4, 39, 216
"/home/datttne/golang-project/order-service/kafka/payment_consumer.go", "Go", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 12, 22, 115
"/home/datttne/golang-project/order-service/log/loggger.go", "Go", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 15, 62
"/home/datttne/golang-project/order-service/main.go", "Go", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 100, 42, 230
